feature,importance_gain,importance_split
spend,37499.29384721398,362
visit,255.66219676790027,185
history,14.951937365873183,2004
recency,5.5842627698247975,940
mens,1.498545455210016,286
zip_code_Surburban,1.2502212987691483,345
zip_code_Rural,1.2332107178096308,136
treatment,1.01101401129954,160
zip_code_Urban,0.9737736769263049,77
newbie,0.9678406115205722,256
channel_Web,0.935437418212635,186
channel_Phone,0.6840192066906096,164
channel_Multichannel,0.34866281921837566,84
womens,0.30988364960512493,214
"history_segment_6) $750 - $1,000",0.2014836940711958,20
history_segment_3) $200 - $350,0.06588949916485042,75
history_segment_2) $100 - $200,0.04524788226484547,64
history_segment_1) $0 - $100,0.036988027569803746,87
"history_segment_7) $1,000 +",0.023257041712424018,59
history_segment_4) $350 - $500,0.013836977177068239,90
history_segment_5) $500 - $750,0.00045502612383601585,28
