recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,spend,y,treatment,uplift,p0,p1,group
2,1) $0 - $100,68.03,0,1,Surburban,0,Web,1,0.0,0,1,-1.084662526059205e-08,1.3598888913814952e-07,1.2514226387755747e-07,Lost Causes
4,3) $200 - $350,217.29,1,1,Urban,1,Phone,0,0.0,0,0,6.389817691566063e-10,1.7721101897622413e-08,1.836008366677902e-08,Lost Causes
3,3) $200 - $350,265.43,1,0,Rural,0,Web,0,0.0,0,1,-1.3082751139388942e-14,2.0619306818963102e-08,2.0619293736211962e-08,Lost Causes
2,2) $100 - $200,103.07,0,1,Urban,1,Phone,0,0.0,0,0,2.2863957683299296e-10,1.6491141814718323e-08,1.6719781391551316e-08,Lost Causes
6,3) $200 - $350,334.65,1,0,Urban,0,Web,0,0.0,0,1,2.523741540495658e-10,1.6199762690141716e-08,1.6452136844191282e-08,Lost Causes
1,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0.0,0,1,2.458703382701606e-10,1.5946383461877632e-08,1.6192253800147793e-08,Lost Causes
9,1) $0 - $100,85.14,1,0,Rural,1,Phone,0,0.0,0,1,7.650045171578455e-10,1.48704104681969e-08,1.5635414985354745e-08,Lost Causes
12,4) $350 - $500,403.52,0,1,Rural,0,Phone,0,0.0,0,0,5.208638373037592e-10,1.8085130265009734e-08,1.8605994102313493e-08,Lost Causes
5,"6) $750 - $1,000",937.02,1,0,Urban,1,Web,0,0.0,0,1,1.0405363928924277e-09,1.6594671303421808e-08,1.7635207696314236e-08,Takers
10,1) $0 - $100,46.55,0,1,Urban,1,Web,0,0.0,0,1,1.4840303841846525e-09,1.5096157330864902e-08,1.6580187715049554e-08,Takers
8,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0.0,0,1,-7.032196393970644e-11,1.6763043093053084e-08,1.6692721129113377e-08,Lost Causes
9,3) $200 - $350,271.58,0,1,Surburban,0,Phone,0,0.0,0,1,1.5769227803479986e-09,1.673106307604688e-08,1.8307985856394878e-08,Takers
4,3) $200 - $350,262.43,1,1,Rural,0,Web,0,0.0,0,0,-4.415390122994943e-13,2.0041969894863904e-08,2.0041528355851604e-08,Lost Causes
10,2) $100 - $200,192.45,0,1,Urban,1,Phone,0,0.0,0,1,1.1337742536790516e-09,1.547317689598058e-08,1.6606951149659633e-08,Takers
12,3) $200 - $350,334.54,1,1,Urban,0,Multichannel,0,0.0,0,1,7.379515922139483e-10,1.650382994714648e-08,1.7241781539360428e-08,Lost Causes
3,3) $200 - $350,251.12,0,1,Rural,0,Web,1,0.0,0,0,-9.84628712748087e-09,1.461084602567744e-07,1.3626217312929354e-07,Lost Causes
7,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0.0,0,0,5.241163286914222e-10,1.5369199104737643e-08,1.5893315433429065e-08,Lost Causes
2,4) $350 - $500,360.28,1,0,Urban,0,Web,0,0.0,0,1,2.0163887243491725e-10,2.0314140984634383e-08,2.05157798570693e-08,Lost Causes
10,1) $0 - $100,61.24,1,0,Surburban,1,Phone,0,0.0,0,1,7.670186287615121e-10,1.490973199839258e-08,1.567675062715409e-08,Lost Causes
7,3) $200 - $350,229.53,1,0,Surburban,0,Web,1,0.0,0,1,1.0463159176883786e-08,7.581217145514331e-08,8.62753306320271e-08,Takers
1,3) $200 - $350,243.82,1,0,Rural,0,Multichannel,0,0.0,0,0,1.4787613517675315e-14,2.0623435008170184e-08,2.06234497957837e-08,Lost Causes
1,3) $200 - $350,266.25,0,1,Rural,1,Web,0,0.0,0,0,-5.187571154695942e-14,1.914030349453788e-08,1.9140251618826332e-08,Lost Causes
3,4) $350 - $500,480.78,1,1,Urban,0,Web,0,0.0,0,1,-4.962263875585676e-10,1.9325164928973196e-08,1.882893854141463e-08,Lost Causes
2,2) $100 - $200,186.1,0,1,Urban,1,Web,0,0.0,0,0,8.174030428087038e-10,1.620367983351841e-08,1.7021082876327112e-08,Lost Causes
4,2) $100 - $200,174.61,1,0,Rural,1,Phone,0,0.0,0,0,2.5342784737984643e-10,1.6447141384603853e-08,1.67005692319837e-08,Lost Causes
12,1) $0 - $100,29.99,1,0,Surburban,0,Web,0,0.0,0,0,-6.740480889526956e-10,1.613959915079159e-08,1.5465551061838894e-08,Lost Causes
5,1) $0 - $100,40.67,0,1,Surburban,0,Phone,0,0.0,0,1,7.346932031141806e-10,1.617877156044192e-08,1.69134647635561e-08,Lost Causes
3,2) $100 - $200,147.13,0,1,Surburban,1,Phone,0,0.0,0,1,2.2118609536833506e-10,1.595370671177961e-08,1.6174892807147945e-08,Lost Causes
3,2) $100 - $200,115.04,1,0,Urban,1,Phone,0,0.0,0,1,2.4698978658125993e-10,1.6023340416122607e-08,1.6270330202703867e-08,Lost Causes
11,1) $0 - $100,29.99,0,1,Surburban,1,Web,1,0.0,0,1,8.50250299892185e-09,1.1528605622075256e-07,1.237885592196744e-07,Takers
10,1) $0 - $100,41.24,1,0,Surburban,0,Web,0,0.0,0,1,-6.905034159983578e-10,1.6533610187948123e-08,1.5843106771949765e-08,Lost Causes
